t,c_x,c_y
48625,11504.28125,14987.9287109375
48626,11497.3369140625,14987.9287109375
48627,11490.392578125,14987.9287109375
48628,11483.4482421875,14987.9287109375
48629,11476.50390625,14987.9287109375
48630,11469.5595703125,14987.9287109375
48631,11462.615234375,14987.9287109375
48632,11455.6708984375,14987.9287109375
48633,11448.7265625,14987.9287109375
48634,11441.7822265625,14987.9287109375
48635,11434.837890625,14987.9287109375
48636,11427.8935546875,14987.9287109375
48637,11420.94921875,14987.9287109375
48638,11414.0048828125,14987.9287109375
48639,11407.060546875,14987.9287109375
48640,11400.1162109375,14987.9287109375
48641,11393.171875,14987.9287109375
48642,11386.2275390625,14987.9287109375
48643,11379.283203125,14987.9287109375
48644,11372.3388671875,14987.9287109375
48645,11365.39453125,14987.9287109375
48646,11358.4501953125,14987.9287109375
48647,11351.505859375,14987.9287109375
48648,11344.5615234375,14987.9287109375
48649,11337.6171875,14987.9287109375
48650,11330.6728515625,14987.9287109375
48651,11323.728515625,14987.9287109375
48652,11316.7841796875,14987.9287109375
48653,11309.83984375,14987.9287109375
48654,11302.8955078125,14987.9287109375
48655,11295.951171875,14987.9287109375
48656,11289.0068359375,14987.9287109375
48657,11282.0625,14987.9287109375
48658,11275.1181640625,14987.9287109375
48659,11268.173828125,14987.9287109375
48660,11261.2294921875,14987.9287109375
48661,11254.28515625,14987.9287109375
48662,11247.3408203125,14987.9287109375
48663,11240.396484375,14987.9287109375
48664,11233.4521484375,14987.9287109375
48665,11226.5078125,14987.9287109375
48666,11219.5634765625,14987.9287109375
48667,11212.619140625,14987.9287109375
48668,11209.4072265625,14987.9287109375
48669,11209.4072265625,14980.984375
48670,11209.4072265625,14974.0400390625
48671,11209.4072265625,14967.095703125
48672,11209.4072265625,14960.1513671875
48673,11209.4072265625,14953.20703125
48674,11209.4072265625,14946.2626953125
48675,11209.4072265625,14939.318359375
48676,11209.4072265625,14932.3740234375
48677,11209.4072265625,14925.4296875
48678,11209.4072265625,14918.4853515625
48679,11209.4072265625,14911.541015625
48680,11209.4072265625,14904.5966796875
48681,11209.4072265625,14897.65234375
48682,11209.4072265625,14890.7080078125
48683,11209.4072265625,14883.763671875
48684,11209.4072265625,14876.8193359375
48685,11209.4072265625,14869.875
48686,11209.4072265625,14862.9306640625
48687,11209.4072265625,14855.986328125
48688,11209.4072265625,14849.0419921875
48689,11209.4072265625,14842.09765625
48690,11209.4072265625,14835.1533203125
48691,11209.4072265625,14828.208984375
48692,11209.4072265625,14821.2646484375
48693,11209.4072265625,14814.3203125
48694,11209.4072265625,14807.3759765625
48695,11209.4072265625,14800.431640625
48696,11209.4072265625,14793.4873046875
48697,11209.4072265625,14786.54296875
48698,11209.4072265625,14779.5986328125
48699,11209.4072265625,14772.654296875
48700,11209.4072265625,14765.7099609375
48701,11209.4072265625,14758.765625
48702,11209.4072265625,14751.8212890625
48703,11209.4072265625,14744.876953125
48704,11209.4072265625,14737.9326171875
48705,11209.4072265625,14730.98828125
48706,11209.4072265625,14724.0439453125
48707,11209.4072265625,14717.099609375
48708,11209.4072265625,14710.1552734375
48709,11209.4072265625,14703.2109375
48710,11209.4072265625,14696.2666015625
48711,11209.4072265625,14689.322265625
48712,11209.4072265625,14682.3779296875
48713,11209.4072265625,14675.43359375
48714,11209.4072265625,14668.4892578125
48715,11209.4072265625,14661.544921875
48716,11209.4072265625,14654.6005859375
48717,11209.4072265625,14647.65625
48718,11209.4072265625,14640.7119140625
48719,11209.4072265625,14633.767578125
48720,11209.4072265625,14626.8232421875
48721,11209.4072265625,14619.87890625
